Title,URL,PostDate,Description,
Back Next Week,https://mcguinnessai.substack.com/p/back-next-week,2023-08-04T03:13:46.210Z,"Sometimes, time just flies...",
Wrapping up Testing,https://mcguinnessai.substack.com/p/wrapping-up-testing,2023-07-27T10:00:13.049Z,Final Thoughts,
Building a Robust Test Tool for LLM Apps,https://mcguinnessai.substack.com/p/building-a-robust-test-tool-for-llm,2023-07-25T10:01:40.657Z,And not hallucinating a positive result...,
"Your help, please?",https://mcguinnessai.substack.com/p/your-help-please,2023-07-24T10:00:29.799Z,Could you answer a short survey about this newsletter?,
Big AI news from the White House?,https://mcguinnessai.substack.com/p/big-ai-new-from-the-white-house,2023-07-22T10:00:21.217Z,"Less than meets the eye, even if you shut them.",
"What's our vector, Victor?",https://mcguinnessai.substack.com/p/whats-our-vector-victor,2023-07-20T10:01:19.676Z,Using embeddings for comparing texts,
"Llama, Llama",https://mcguinnessai.substack.com/p/llama-llama,2023-07-19T04:05:48.369Z,You know Zuck has to love this...,
Testing AI,https://mcguinnessai.substack.com/p/testing-ai,2023-07-18T10:00:12.836Z,"If it works once, are you done?",
AI in the News,https://mcguinnessai.substack.com/p/ai-in-the-news,2023-07-14T00:11:25.945Z,But not in a good way?,
“Fiduciary”,https://mcguinnessai.substack.com/p/fiduciary,2023-07-11T10:02:40.083Z,"is a word you never hear in conjunction with AI, but maybe you should.",
Echo and Narcissus,https://mcguinnessai.substack.com/p/echo-and-narcissus,2023-07-06T10:01:46.732Z,"Where you stare into abyss … and the abyss says ""hey  good lookin'!""",
Happy 4th of July,https://mcguinnessai.substack.com/p/happy-4th-of-july,2023-07-04T10:02:49.593Z,Whether you're in the USA or not!,
Hit it with your best (Zero) Shot!,https://mcguinnessai.substack.com/p/hit-it-with-your-best-zero-shot,2023-06-29T10:02:00.417Z,A look at some other models,
Chat Made Easy,https://mcguinnessai.substack.com/p/chat-made-easy,2023-06-27T10:00:17.471Z,Let's Give Them Something To Talk About!,
Can It Keep Going Like This?,https://mcguinnessai.substack.com/p/can-it-keep-going-like-this,2023-06-24T10:01:09.226Z,"It's tough to make predictions, especially about the future.",
"Now, What Were We Talking About?",https://mcguinnessai.substack.com/p/now-what-were-we-talking-about,2023-06-22T10:01:41.680Z,Overcoming Chat's Instant Amnesia,
We Need To Have A Chat,https://mcguinnessai.substack.com/p/we-need-to-have-a-chat,2023-06-20T10:01:09.211Z,And ChatGPT is here for us!,
Newsletter Resources,https://mcguinnessai.substack.com/p/newsletter-resources,2023-06-19T10:01:52.116Z,You can observe a lot by just watching.,
Do Androids Dream of Grandma's Pasta?,https://mcguinnessai.substack.com/p/do-androids-dream-of-grandmas-pasta,2023-06-19T06:26:29.104Z,I Don't Think We Have to Worry About AI ... Yet,
This Week's Teaser,https://mcguinnessai.substack.com/p/this-weeks-teaser,2023-06-18T07:00:38.071Z,OmniScriptChatGPT,
Finishing Our Email Writer (Part 3),https://mcguinnessai.substack.com/p/finishing-our-email-writer-part-3,2023-06-15T10:02:01.519Z,"I have all the inputs, but can I make ChatGPT generate the outputs?",
Quick Note on Security,https://mcguinnessai.substack.com/p/quick-note-on-security,2023-06-14T10:00:22.929Z,How safe is your data with ChatGPT?,
"Building An Email Writer, Part 2",https://mcguinnessai.substack.com/p/building-an-email-writer-part-2,2023-06-13T07:01:03.609Z,Those emails don't write themselves ... but soon they will ...,
Let's Build an Email Writer!,https://mcguinnessai.substack.com/p/lets-build-an-email-writer,2023-06-08T10:00:52.324Z,Because it's au courant!,
AI Companies Tell You to Worry about AI,https://mcguinnessai.substack.com/p/ai-companies-tell-you-to-worry-about,2023-06-06T08:01:16.443Z,Irony? Cynicism? Paternalism? Bullshit? It's just so hard to tell.,
What's on Benioff's Brain?,https://mcguinnessai.substack.com/p/whats-on-benioffs-brain,2023-06-02T17:35:09.417Z,Marc's Word Cloud,
Replacing Wooden Clocks,https://mcguinnessai.substack.com/p/replacing-wooden-clocks,2023-06-02T01:47:28.604Z,Friction is Bad,
